8.50,1.09,-4.03,-0.05,0.03,0.02,0.0
8.46,1.12,-4.10,-0.05,0.03,0.01,0.0
8.48,1.07,-3.97,-0.05,0.02,0.01,0.0
8.47,1.09,-4.00,-0.05,0.02,0.01,0.0
8.46,1.10,-4.02,-0.05,0.02,0.01,0.0
8.50,1.14,-4.05,-0.05,0.02,0.01,0.0
8.45,1.12,-4.02,-0.05,0.02,0.01,0.0
8.52,1.10,-4.04,-0.05,0.03,0.01,0.0
8.43,1.13,-4.02,-0.05,0.03,0.01,0.0
8.48,1.12,-4.07,-0.05,0.02,0.01,0.0
8.47,1.12,-4.03,-0.05,0.02,0.01,0.0
8.42,1.10,-4.01,-0.05,0.02,0.02,0.0
8.44,1.15,-3.99,-0.05,0.02,0.02,0.0
8.53,1.12,-4.00,-0.05,0.02,0.02,0.0
8.48,1.14,-3.97,-0.05,0.02,0.02,0.0
8.49,1.11,-3.95,-0.05,0.02,0.01,0.0
8.50,1.12,-4.01,-0.05,0.03,0.01,0.0
8.47,1.08,-4.04,-0.05,0.03,0.01,0.0
8.47,1.10,-4.01,-0.05,0.02,0.01,0.0
8.46,1.11,-4.03,-0.05,0.02,0.01,0.0
8.49,1.14,-4.07,-0.05,0.03,0.01,0.0
8.43,1.12,-4.03,-0.05,0.02,0.02,0.0
8.48,1.09,-4.01,-0.05,0.02,0.02,0.0
8.47,1.10,-4.02,-0.05,0.03,0.01,0.0
8.47,1.10,-3.96,-0.05,0.02,0.01,0.0
8.50,1.14,-4.06,-0.05,0.02,0.01,0.0
8.50,1.15,-4.04,-0.05,0.02,0.02,0.0
8.53,1.02,-4.08,-0.04,0.02,0.02,0.0
8.46,1.14,-4.02,-0.05,0.03,0.01,0.0
8.46,1.16,-3.99,-0.05,0.02,0.01,0.04704618453979492
8.50,1.14,-4.07,-0.04,0.01,0.01,0.1567528247833252
8.51,1.13,-4.04,-0.04,0.02,0.02,0.27070093154907227
8.49,1.11,-4.04,-0.05,0.03,0.02,0.37901854515075684
8.48,1.16,-4.05,-0.06,0.04,0.02,0.48880696296691895
8.45,1.11,-4.05,-0.06,0.05,0.02,0.5825707912445068
8.50,1.07,-4.05,-0.08,0.11,0.05,0.6934711933135986
8.50,1.19,-3.85,-0.07,0.16,0.08,0.7765998840332031
8.62,0.98,-3.76,-0.05,0.03,0.01,0.8986570835113525
8.59,1.02,-3.91,-0.04,0.01,0.01,0.9924111366271973
8.45,1.18,-3.63,-0.02,-0.01,0.02,1.1017959117889404
8.37,0.98,-3.76,0.02,-0.08,0.04,1.1958568096160889
8.88,1.01,-3.51,0.19,-0.72,-0.16,1.2940053939819336
8.54,2.03,-4.44,0.38,-4.06,-0.36,1.4152271747589111
20.15,5.05,-13.34,1.20,-1.44,-0.55,1.5089833736419678
11.03,3.58,-2.53,-0.86,2.30,-0.30,1.6034846305847168
11.16,0.15,-8.43,-0.87,3.64,-0.92,1.712888479232788
5.88,0.18,-15.56,-0.76,1.82,-1.51,1.822462797164917
12.29,3.47,-2.30,0.47,-1.75,-0.56,1.9165115356445312
10.56,-0.29,-6.13,0.03,-0.28,0.42,2.04152250289917
8.52,1.61,-3.89,-0.03,-0.01,0.11,2.1357738971710205
8.46,1.50,-3.56,0.04,-0.00,0.14,2.2300755977630615
8.55,1.25,-4.01,0.04,-0.00,0.12,2.3396153450012207
8.56,1.22,-3.82,0.06,-0.02,0.13,2.4342422485351562
8.51,0.95,-4.03,0.09,-0.20,0.05,2.544603109359741
9.07,1.40,-3.19,0.33,-1.64,-0.07,2.654810905456543
13.88,4.69,-9.49,2.22,-4.85,0.89,2.748857021331787
9.73,4.90,0.31,-0.36,0.88,-0.29,2.8584177494049072
9.28,-1.36,-6.53,-1.28,3.22,-0.75,2.9838550090789795
7.51,0.10,-9.14,-1.54,3.26,-0.80,3.078127384185791
2.50,-5.57,-15.73,-0.81,1.85,-0.57,3.1876461505889893
13.25,9.72,-5.28,1.63,-1.69,0.40,3.297971487045288
9.44,1.98,-4.92,0.09,-0.30,0.33,3.392752170562744
8.56,1.49,-4.03,-0.01,0.01,0.10,3.4712579250335693
8.54,1.44,-3.98,0.04,-0.03,0.13,3.5967049598693848
8.38,1.36,-3.94,0.02,0.01,0.08,3.6935222148895264
8.26,1.22,-3.96,0.02,-0.02,0.06,3.7857189178466797
8.44,1.19,-4.12,0.06,-0.20,0.04,3.895277738571167
8.85,1.02,-2.37,0.32,-1.62,-0.09,4.005006551742554
11.45,5.00,-9.32,1.61,-4.89,-0.03,4.09876275062561
8.39,8.20,1.48,0.28,0.82,0.09,4.223870277404785
8.24,-1.35,-6.85,-1.73,3.13,0.43,4.333620071411133
6.24,1.96,-8.81,-1.26,3.36,-0.50,4.412083625793457
7.36,-4.05,-16.01,-1.17,2.26,-1.13,4.52191948890686
2.64,0.97,-9.64,0.45,-2.55,0.74,4.648992300033569
10.90,0.93,-6.94,0.17,-0.44,0.57,4.725706338882446
8.38,1.58,-3.51,0.02,-0.09,0.18,4.8507139682769775
8.44,1.47,-3.86,0.03,-0.11,0.04,4.96103310585022
8.41,1.44,-4.40,0.01,-0.13,-0.03,5.034165143966675
8.26,1.60,-4.25,0.02,-0.10,0.09,5.158811807632446
8.20,1.19,-4.34,-0.03,-0.12,0.10,5.26783013343811
8.55,1.51,-3.55,0.09,-1.12,-0.08,5.361929178237915
10.78,2.17,-8.74,0.35,-5.33,-0.81,5.471604108810425
11.03,3.86,1.02,0.56,0.98,0.87,5.5812273025512695
7.72,5.91,-4.46,-0.52,3.41,0.38,5.659740209579468
7.97,6.63,-10.76,-2.18,3.54,0.57,5.78552770614624
6.03,2.27,-14.75,-1.54,1.90,-0.69,5.863657712936401
-2.26,-7.14,-12.64,0.35,0.24,-0.30,5.973305940628052
10.86,-1.03,-9.71,0.69,-0.76,1.64,6.083197593688965
8.67,1.28,-3.71,0.04,-0.08,0.31,6.177331924438477
8.53,1.47,-3.87,0.04,-0.11,0.12,6.287045240402222
8.45,1.29,-4.11,0.04,-0.19,0.02,6.396554946899414
8.44,1.41,-4.18,0.04,-0.13,0.06,6.506307125091553
8.50,1.57,-4.52,0.01,-0.29,-0.01,6.615974426269531
8.09,1.36,-4.02,0.12,-1.19,-0.03,6.71183705329895
10.28,2.85,-8.16,0.82,-5.54,-0.52,6.8196351528167725
18.33,8.36,-4.87,1.18,0.54,-1.32,6.913391590118408
8.08,4.93,-5.06,-1.89,3.38,0.35,7.0385777950286865
9.84,3.96,-11.58,-2.04,3.88,0.45,7.146091461181641
-2.26,9.06,-15.47,-2.94,1.97,0.48,7.243406534194946
-4.03,0.85,-7.88,-3.01,-3.35,-1.29,7.353063106536865
8.55,2.48,-4.43,-0.21,0.10,-0.10,7.433122396469116
8.47,2.20,-3.68,0.01,-0.01,0.22,7.541127920150757
8.51,1.92,-3.85,0.14,-0.11,0.23,7.635799884796143
8.45,1.53,-4.14,0.09,-0.04,0.23,7.748343229293823
8.52,1.13,-4.02,0.04,-0.05,0.16,7.856142282485962
8.32,0.96,-3.39,-0.12,-0.31,-0.05,7.965724468231201
8.74,1.89,-4.17,0.62,-2.22,0.04,8.075830698013306
8.54,5.52,-7.88,2.01,-2.28,4.43,8.186084985733032
8.09,-3.95,-5.58,-2.61,0.16,3.93,8.28030252456665
5.93,10.13,-5.70,-1.68,2.91,2.70,8.358450412750244
5.87,10.01,-11.01,-4.80,2.45,2.63,8.468156337738037
7.31,2.58,-12.70,-3.15,2.56,0.19,8.582464456558228
-4.20,-0.91,-15.25,-1.35,0.25,-1.47,8.689215898513794
16.07,-5.64,-13.94,2.01,-2.87,1.00,8.798598766326904
8.68,2.10,-3.94,0.11,-0.19,0.59,8.90798044204712
8.56,1.82,-3.94,0.06,-0.16,0.14,9.001736402511597
8.43,1.56,-4.14,0.05,-0.17,0.05,9.096418380737305
8.40,1.84,-4.38,0.04,-0.09,0.11,9.206763744354248
8.37,1.72,-4.16,-0.05,-0.16,0.05,9.317862510681152
8.24,1.74,-3.73,0.13,-0.96,0.01,9.425660610198975
11.05,3.59,-6.71,1.40,-4.77,-0.12,9.519788026809692
14.26,9.78,-5.09,-0.20,-0.75,1.52,9.630798816680908
8.50,5.35,-3.37,-0.92,2.44,1.06,9.723657846450806
7.14,3.34,-8.92,-2.07,3.74,0.52,9.833285331726074
8.48,0.02,-15.92,-2.26,3.21,-0.81,9.943262815475464
-15.87,-6.28,-4.86,0.70,0.25,-0.40,10.052399158477783
11.49,-6.08,-4.49,0.50,-0.68,1.10,10.147512197494507
8.62,1.30,-3.56,0.01,-0.09,0.18,10.257959127426147
8.45,1.43,-3.76,0.07,-0.06,0.13,10.336359024047852
8.51,1.29,-4.04,0.04,-0.12,0.07,10.445939779281616
8.43,1.30,-4.21,0.03,-0.09,0.03,10.555123329162598
8.45,1.16,-4.05,0.03,-0.40,0.01,10.649827718734741
8.40,1.06,-4.08,0.52,-2.98,-0.16,10.760329723358154
8.74,1.91,-8.32,2.21,-4.30,-0.20,10.869274616241455
8.63,4.36,-0.77,-0.27,0.87,0.65,10.979185342788696
7.43,1.84,-6.68,-1.91,3.44,0.49,11.072941303253174
8.95,2.15,-11.12,-1.74,3.88,-0.67,11.183423280715942
3.76,-4.57,-19.28,-1.57,2.65,-1.36,11.293414831161499
10.81,8.71,-8.75,2.82,-1.74,1.47,11.402791738510132
8.41,2.96,-3.68,0.10,-0.21,0.38,11.496547937393188
8.60,1.21,-3.91,0.01,-0.02,0.16,11.606248617172241
8.51,1.12,-3.75,0.05,-0.06,0.08,11.715828895568848
8.84,1.71,-4.19,0.04,-0.09,0.13,11.810230016708374
8.32,1.02,-4.17,0.01,-0.15,-0.04,11.91992473602295
8.53,1.34,-3.80,0.03,-0.63,-0.06,12.029306650161743
8.39,1.76,-4.37,0.82,-4.45,-0.32,12.107436656951904
19.43,7.09,-15.56,1.55,-2.63,-0.56,12.217798709869385
